NWSOffice,Counties
LUB,Parmer
LUB,Castro
LUB,Swisher
LUB,Briscoe
LUB,Hall
LUB,Childress
LUB,Bailey
LUB,Lamb
LUB,Hale
LUB,Floyd
LUB,Motley
LUB,Cottle
LUB,Cochran
LUB,Hockley
LUB,Lubbock
LUB,Crosby
LUB,Dickens
LUB,King
LUB,Yoakum
LUB,Terry
LUB,Lynn
LUB,Garza
LUB,Kent
LUB,Stonewall
AMA,Armstrong
AMA,Carson
AMA,Collingsworth
AMA,Dallam
AMA,Deaf Smith
AMA,Donley
AMA,Gray
AMA,Hansford
AMA,Hartley
AMA,Hutchinson
AMA,Hemphill
AMA,Lipscomb
AMA,Moore
AMA,Potter
AMA,Oldham
AMA,Ochiltree
AMA,Randall
AMA,Roberts
AMA,Sherman
AMA,Wheeler
EWX,Atascosa
EWX,Bandera
EWX,Bastrop
EWX,Bexar
EWX,Blanco
EWX,Burnet
EWX,Caldwell
EWX,Comal
EWX,DeWitt
EWX,Dimmit
EWX,Edwards
EWX,Fayette
EWX,Frio
EWX,Gillespie
EWX,Gonzales
EWX,Guadalupe
EWX,Hays
EWX,Karnes
EWX,Kendall
EWX,Kerr
EWX,Kinney
EWX,Lavaca
EWX,Lee
EWX,Llano
EWX,Maverick
EWX,Medina
EWX,Real
EWX,Travis
EWX,Uvalde
EWX,Val Verde
EWX,Williamson
EWX,Wilson
EWX,Zavala
BRO,Brooks
BRO,Cameron
BRO,Hidalgo
BRO,Jim Hogg
BRO,Kenedy
BRO,Starr
BRO,Willacy
BRO,Zapata
CRP,Aransas
CRP,Bee
CRP,Calhoun
CRP,Duval
CRP,Goliad
CRP,Jim Wells
CRP,Kleberg
CRP,La Salle
CRP,Live Oak
CRP,Nueces
CRP,Refugio
CRP,San Patricio
CRP,Victoria
CRP,Webb
CRP,McMullen
FWD,Anderson
FWD,Bell
FWD,Bosque
FWD,Collingsworth
FWD,Comanche
FWD,Cooke
FWD,Coryell
FWD,Collin
FWD,Dallas
FWD,Delta
FWD,Denton
FWD,Eastland
FWD,Ellis
FWD,Erath
FWD,Falls
FWD,Fannin
FWD,Freestone
FWD,Grayson
FWD,Hamilton
FWD,Henderson
FWD,Hill
FWD,Hood
FWD,Hopkins
FWD,Hunt
FWD,Jack
FWD,Johnson
FWD,Kaufman
FWD,Lamar
FWD,Lampasas
FWD,Leon
FWD,Limestone
FWD,Mills
FWD,Montague
FWD,Navarro
FWD,Palo Pinto
FWD,Parker
FWD,Rains
FWD,Rockwall
FWD,Somervell
FWD,Stephens
FWD,Tarrant
FWD,Van Zandt
FWD,Wise
FWD,Wood
FWD,Young
FWD,Robertson
FWD,Milam
FWD,McLennan
EPZ,Brewster
EPZ,Culberson
EPZ,El Paso
EPZ,Hudspeth
EPZ,Jeff Davis
EPZ,Presidio
HGX,Austin
HGX,Brazoria
HGX,Brazos
HGX,Burleson
HGX,Chambers
HGX,Colorado
HGX,Fort Bend
HGX,Galveston
HGX,Grimes
HGX,Harris
HGX,Houston
HGX,Jackson
HGX,Liberty
HGX,Madison
HGX,Matagorda
HGX,Montgomery
HGX,Polk
HGX,San Jacinto
HGX,Trinity
HGX,Walker
HGX,Waller
HGX,Washington
HGX,Wharton
MAF,Andrews
MAF,Borden
MAF,Crane
MAF,Dawson
MAF,Ector
MAF,Gaines
MAF,Glasscock
MAF,Howard
MAF,Loving
MAF,Martin
MAF,Midland
MAF,Mitchell
MAF,Pecos
MAF,Reagan
MAF,Reeves
MAF,Terrell
MAF,Upton
MAF,Winkler
MAF,Scurry
SJT,Brown
SJT,Coke
SJT,Coleman
SJT,Concho
SJT,Crockett
SJT,Irion
SJT,Kimble
SJT,Mason
SJT,McCulloch
SJT,Menard
SJT,Runnels
SJT,Scheicher
SJT,Tom Green
SJT,Shackelford
SJT,Throckmorton
SJT,Sutton
SJT,Fisher
SJT,Callahan
SJT,San Saba
SJT,Schleicher
SJT,Jones
SJT,Sterling
SJT,Taylor
SJT,Haskell
SJT,Nolan
OUN,Archer
OUN,Baylor
OUN,Clay
OUN,Wichita
OUN,Foard
OUN,Hardeman
OUN,Knox
OUN,Wilbarger
SHV,Angelina
SHV,Cherokee
SHV,Gregg
SHV,Harrison
SHV,Marion
SHV,Nacogdoches
SHV,Panola
SHV,Rusk
SHV,Shelby
SHV,Titus
SHV,Cass
SHV,Smith
SHV,Morris
SHV,Red River
SHV,Franklin
SHV,Bowie
SHV,Sabine
SHV,San Augustine
SHV,Upshur
LCH,Hardin
LCH,Jasper
LCH,Jefferson
LCH,Newton
LCH,Orange
LCH,Tyler
ABQ,Lea
ABQ,Eddy
ABQ,Roosevelt
