agency_cd	site_no	dec_lat_va	dec_long_va
USGS	7227420	35.75125	-102.8931667
USGS	7227500	35.4703261	-101.879628
USGS	7227700	35.58688889	-101.7101472
USGS	7227890	35.72077778	-101.6625278
USGS	7228000	35.935042	-100.3706884
USGS	7233500	36.20225497	-101.305993
USGS	7235000	36.23864885	-100.2756889
USGS	7295400	35.03550556	-102.1506
USGS	7295500	34.84867146	-102.1760295
USGS	7297910	34.83755505	-101.4140578
USGS	7298500	34.62783574	-100.9406994
USGS	7299540	34.56922728	-100.1940023
USGS	7299670	34.35451979	-99.7403719
USGS	7299890	34.93560669	-100.6965246
USGS	7300000	34.95755294	-100.220949
USGS	7301300	35.2642163	-100.2417855
USGS	7301410	35.47310419	-100.1209501
USGS	7308200	34.1795833	-99.3233333
USGS	7308500	34.11009327	-98.5317234
USGS	7311600	33.9506365	-100.0648269
USGS	7311630	33.7959174	-100.0751027
USGS	7311700	33.82064216	-99.7864822
USGS	7311782	33.62203029	-100.2089951
USGS	7311783	33.62203029	-100.2089951
USGS	7311800	33.644257	-99.8009252
USGS	7311900	33.70036966	-99.3886905
USGS	7312100	33.7600934	-99.1428495
USGS	7312110	33.81398475	-98.932844
USGS	7312200	33.90592785	-98.9050666
USGS	7312330	33.89694444	-98.7072222
USGS	7312500	33.90955506	-98.53367399
USGS	7312610	33.88444444	-98.4988889
USGS	7312700	34.0531504	-98.2967139
USGS	7314500	33.66260225	-98.6131124
USGS	7314900	33.8267666	-98.2400458
USGS	7315200	33.81287833	-98.0850406
USGS	7331600	33.81899124	-96.5633264
USGS	7332603	33.55502778	-96.1695833
USGS	7332605	33.57579444	-96.1557444
USGS	7332622	33.74416667	-95.9611111
USGS	7332655	33.7587361	-95.9159472
USGS	7336820	33.68400005	-94.6943774
USGS	7342470	33.21930278	-95.8621944
USGS	7342480	33.26650079	-95.9155217
USGS	7342500	33.356499	-95.5949562
USGS	7343000	33.47483009	-95.5877347
USGS	7343200	33.3862233	-95.1324428
USGS	7343356	33.49888889	-95.0513889
USGS	7343450	33.30944444	-94.6980556
USGS	7343500	33.32233617	-95.0927184
USGS	7343840	33.2747222	-94.8025
USGS	7344100	33.38444444	-94.4980556
USGS	7344210	33.30416667	-94.1513889
USGS	7344493	33.07293056	-94.9652278
USGS	7344500	33.02095787	-94.8821554
USGS	7345900	32.7551388	-94.4993658
USGS	7346000	32.74958345	-94.4988102
USGS	7346045	32.7779173	-94.3574153
USGS	7346050	32.6726406	-94.7510435
USGS	7346070	32.71291998	-94.3460265
USGS	7346080	32.7386111	-94.2325
USGS	8017200	33.1328933	-96.0769164
USGS	8017250	33.01427778	-96.2125
USGS	8017300	32.89790085	-96.2533118
USGS	8017410	32.8062358	-95.9194109
USGS	8017605	32.72952778	-95.8105278
USGS	8017900	32.72021667	-95.6350861
USGS	8018000	32.66174167	-95.6910806
USGS	8018500	32.61374667	-95.4857901
USGS	8019000	32.76318386	-95.4630094
USGS	8019200	32.55986369	-95.206614
USGS	8019500	32.6040291	-95.0916099
USGS	8020000	32.52708909	-94.9602175
